stock_code,stock_name,title,content,published_at,source,collected_at
005930,삼성전자,"[특징주] 신세계, 자산가 소비 확대 기대에 17%대 급등…장중 67만1000원...","주식과 부동산 등 자산 가격이 오르면 고소득층 소비가 확대되는 경향이 있는데, 백화점은 그 수혜를 직접적으로 받는 업종으로 분류된다. 여기에 삼성전자와 SK하이닉스 사업장이 몰린 경기 남부 지역 점포를 중심으로... ","Thu, 04 Jun 2026 14:26:00 +0900",naver,2026-06-04 14:28:30
005930,삼성전자,씨티 “외국인 차익실현·리밸런싱 주식 매도…원화 약세 압력↑”,한국 주식 비중이 급격히 커진 가운데 이달 매도세는 무역 흑자 규모를 웃돌았다”고 짚었다. 국내 투자자들의 차익 실현이 수도권 주택 시장 랠리를 가속화할 수 있다고도 우려했다. 삼성전자 반도체 부문 직원들의 경우... ,"Thu, 04 Jun 2026 14:25:00 +0900",naver,2026-06-04 14:28:30
005930,삼성전자,[증권 뉴스브리핑] '주가 조작 패가망신 1호' 슈퍼리치 준항고/단일종목...,"주식 비중은 매일 리밸런싱을 통해 50%로 유지하며, 기초지수는 한국자산평가가 발표하는 KAP 삼성전자현대차채권혼합지수를 추종한다. 총 보수는 연 0.18%다. 최홍석 우리운용 ETF솔루션본부장은 &quot;최근 AI 투자 흐름은... ","Thu, 04 Jun 2026 14:24:00 +0900",naver,2026-06-04 14:28:30
005930,삼성전자,코스피 주춤하자 6거래일만 반등…코스닥 스포트라이트 받나,"서상영 미래에셋증권 연구원은 &quot;미국에서 시간 외 주식시장을 보면 반도체·AI 기업들이 부진한 가운데... 하나로 삼성전자·SK하이닉스 단일종목 레버리지 ETF를 지목하는 분석이 나오기도 했는데, 이날 반도체와 AI... ","Thu, 04 Jun 2026 14:19:00 +0900",naver,2026-06-04 14:28:30
005930,삼성전자,[Invest]'재미없던' 고배당 ETF에 상장 첫날 1000억…흥행 키워드는 결국...,삼성전자와 SK하이닉스 등 반도체 대형주가 빠르게 오를 경우 콜옵션 매도에 따른 상방 제한으로 일반 주식형 ETF보다 총수익률이 낮아질 수 있다. 결국 투자자는 월분배와 옵션 프리미엄을 얻는 대신 강한 랠리... ,"Thu, 04 Jun 2026 14:18:00 +0900",naver,2026-06-04 14:28:30
005930,삼성전자,임원ㆍ주요주주특정증권등소유상황보고서,공시유형: Y | 접수일: 20260604,20260604,dart,2026-06-04 14:28:32
005930,삼성전자,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,공시유형: Y | 접수일: 20260602,20260602,dart,2026-06-04 14:28:32
000660,SK하이닉스,"[특징주] 신세계, 자산가 소비 확대 기대에 17%대 급등…장중 67만1000원...","주식과 부동산 등 자산 가격이 오르면 고소득층 소비가 확대되는 경향이 있는데, 백화점은 그 수혜를 직접적으로 받는 업종으로 분류된다. 여기에 삼성전자와 SK하이닉스 사업장이 몰린 경기 남부 지역 점포를 중심으로... ","Thu, 04 Jun 2026 14:26:00 +0900",naver,2026-06-04 14:28:34
000660,SK하이닉스,[증권 뉴스브리핑] '주가 조작 패가망신 1호' 슈퍼리치 준항고/단일종목...,국내주식 투자를 보다 쉽게 경험할 수 있도록 했다&quot;며 &quot;앞으로도 다양한 이벤트와 서비스를 지속적으로 선보일 계획&quot;이라고 말했다. ◆ 삼성자산운용은 삼성전자와 SK하이닉스를 중심으로 인공지능(AI)·반도체 기업에... ,"Thu, 04 Jun 2026 14:24:00 +0900",naver,2026-06-04 14:28:34
000660,SK하이닉스,코스피 주춤하자 6거래일만 반등…코스닥 스포트라이트 받나,"서상영 미래에셋증권 연구원은 &quot;미국에서 시간 외 주식시장을 보면 반도체·AI 기업들이 부진한 가운데... 삼성전자·SK하이닉스 단일종목 레버리지 ETF를 지목하는 분석이 나오기도 했는데, 이날 반도체와 AI 종목이 숨... ","Thu, 04 Jun 2026 14:19:00 +0900",naver,2026-06-04 14:28:34
